 ,Area,Mean,StdDev,Min,Max,X,Y
377,4,255,0,255,255,162.000,459.750
378,1,255,0,255,255,192.500,459.500
379,11,255,0,255,255,318.500,460.409
380,6,255,0,255,255,172.000,461.167
381,5,255,0,255,255,183.300,461.500
382,8,255,0,255,255,267.375,461.750
383,6,255,0,255,255,394.333,463.000
384,10,255,0,255,255,198.500,462.200
385,7,255,0,255,255,208.786,462.357
386,14,255,0,255,255,224.500,462.714
387,27,255,0,255,255,251.611,464.389
388,4,255,0,255,255,454.000,462.500
389,3,255,0,255,255,217.833,464.500
390,33,255,0,255,255,273.773,466.318
391,4,255,0,255,255,221.500,465.500
392,6,255,0,255,255,448.667,465.167
393,1,255,0,255,255,579.500,464.500
394,1,255,0,255,255,313.500,465.500
395,30,255,0,255,255,299.467,470.167
396,9,255,0,255,255,164.056,469.056
397,2,255,0,255,255,393.000,468.000
398,4,255,0,255,255,279.500,470.000
399,7,255,0,255,255,260.500,470.214
400,29,255,0,255,255,380.741,475.155
401,23,255,0,255,255,396.935,474.891
402,5,255,0,255,255,159.300,471.100
403,19,255,0,255,255,388.184,475.711
404,1,255,0,255,255,170.500,471.500
405,8,255,0,255,255,180.000,472.500
406,13,255,0,255,255,190.346,472.731
407,2,255,0,255,255,219.000,472.500
408,9,255,0,255,255,307.722,473.722
409,13,255,0,255,255,203.500,473.500
410,1,255,0,255,255,215.500,473.500
411,4,255,0,255,255,290.250,474.250
412,9,255,0,255,255,365.833,474.611
413,3,255,0,255,255,585.833,474.500
414,30,255,0,255,255,259.400,477.667
415,13,255,0,255,255,301.423,476.346
416,1,255,0,255,255,175.500,475.500
417,14,255,0,255,255,285.143,478.429
418,1,255,0,255,255,296.500,476.500
419,4,255,0,255,255,174.250,478.750
420,12,255,0,255,255,315.750,478.750
421,6,255,0,255,255,331.000,478.500
422,1,255,0,255,255,370.500,477.500
423,1,255,0,255,255,267.500,478.500
424,5,255,0,255,255,338.700,479.100
425,6,255,0,255,255,361.000,479.167
426,1,255,0,255,255,577.500,478.500
427,2,255,0,255,255,279.000,479.500
428,1,255,0,255,255,304.500,479.500
429,3,255,0,255,255,346.500,479.500
